scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,704,352,0.00843544992580106,0.006083296606290397,,2,0.008128604882278557,0.005719078323269274,,0,True,True
average,C_activity,2,4,704,352,0.005029292403794349,0.003954624252333735,,2,0.005494764418098171,0.0045042457912240486,,0,True,True
average,C_activity,4,8,704,352,0.025697689805619095,0.019797311132970178,,3,0.026736810776136502,0.02086125607923864,,0,True,False
average,C_frozen,1,2,704,352,0.008435449925801064,0.006083296606290395,,2,0.00812860488616528,0.00571907832758769,,0,True,True
average,C_frozen,2,4,704,352,0.005029292403794346,0.003954624252333735,,2,0.00549476441808913,0.004504245791220319,,0,True,True
average,C_frozen,4,8,704,352,0.025697689805619102,0.019797311132970185,,3,0.026736810777372506,0.020861256076335953,,0,True,False
average,H_2x2,1,2,704,352,0.09571302577544827,0.08370411738313335,0.8815818902164011,3,0.09815759437861954,0.08767061239744753,0.8896543337053251,0,False,False
average,H_2x2,2,4,704,352,0.06149663780313936,0.050275675337352735,0.8863643655622073,3,0.06633895917071261,0.057030936569691736,0.8907725104608955,0,False,False
average,H_2x2,4,8,704,352,0.05874076756841238,0.04716503933827131,0.9374101658321298,2,0.05868099309688444,0.046260298454532695,0.9391705064161527,0,False,False
majority,C_activity,1,2,704,352,0.00843544992580106,0.006083296606290397,,2,0.008128604882278557,0.005719078323269274,,0,True,True
majority,C_activity,2,4,704,352,0.005029292403794349,0.003954624252333735,,2,0.005494764418098171,0.0045042457912240486,,0,True,True
majority,C_activity,4,8,704,352,0.025697689805619095,0.019797311132970178,,3,0.026736810776136502,0.02086125607923864,,0,True,False
majority,C_frozen,1,2,704,352,0.008435449925801064,0.006083296606290395,,2,0.00812860488616528,0.00571907832758769,,0,True,True
majority,C_frozen,2,4,704,352,0.005029292403794346,0.003954624252333735,,2,0.00549476441808913,0.004504245791220319,,0,True,True
majority,C_frozen,4,8,704,352,0.025697689805619102,0.019797311132970185,,3,0.026736810777372506,0.020861256076335953,,0,True,False
majority,H_2x2,1,2,704,352,0.09571302577544827,0.08370411738313335,0.8815818902164011,3,0.09815759437861954,0.08767061239744753,0.8896543337053251,0,False,False
majority,H_2x2,2,4,704,352,0.06149663780313936,0.050275675337352735,0.8863643655622073,3,0.06633895917071261,0.057030936569691736,0.8907725104608955,0,False,False
majority,H_2x2,4,8,704,352,0.05874076756841238,0.04716503933827131,0.9374101658321298,2,0.05868099309688444,0.046260298454532695,0.9391705064161527,0,False,False
threshold_high,C_activity,1,2,704,352,0.0075793630492904576,0.005501127900958991,,3,0.00724404956439205,0.005194946279516444,,9,True,True
threshold_high,C_activity,2,4,704,352,0.006178884862547771,0.004757948301537867,,2,0.0059368915265369995,0.004745139205077727,,0,True,True
threshold_high,C_activity,4,8,704,352,0.02662604038329194,0.018007762862958895,,2,0.024634038954022358,0.01766504895306636,,0,True,False
threshold_high,C_frozen,1,2,704,352,0.007579363049290445,0.005501127900958982,,3,0.007244063231129833,0.005194963680230895,,9,True,True
threshold_high,C_frozen,2,4,704,352,0.006178884862547774,0.0047579483015378725,,2,0.005936891526503026,0.0047451392050140455,,0,True,True
threshold_high,C_frozen,4,8,704,352,0.02662604038329193,0.018007762862958895,,2,0.024634038954020523,0.017665048953064005,,0,True,False
threshold_high,H_2x2,1,2,704,352,0.0954230520008226,0.08328595163778835,0.9726397847115534,3,0.09714109193396485,0.08658333109107709,0.9748357953032172,0,False,False
threshold_high,H_2x2,2,4,704,352,0.04845828469160552,0.03789552414934906,0.9740077510183724,3,0.05038725947864326,0.04151134737908135,0.976518563274937,0,False,False
threshold_high,H_2x2,4,8,704,352,0.051783326640741055,0.04122502107376152,0.9577029410660796,2,0.051478752083604355,0.04080939020114411,0.9582754669247141,0,False,False
threshold_low,C_activity,1,2,704,352,0.00843544992580106,0.006083296606290397,,2,0.008128604882278557,0.005719078323269274,,0,True,True
threshold_low,C_activity,2,4,704,352,0.003041510903561517,0.002101728953098717,,3,0.0030592921140325776,0.0023459625964719066,,0,True,True
threshold_low,C_activity,4,8,704,352,0.012535319314950591,0.008413637929405617,,2,0.012303350866755058,0.008928404982278792,,0,True,False
threshold_low,C_frozen,1,2,704,352,0.008435449925801064,0.006083296606290395,,2,0.00812860488616528,0.00571907832758769,,0,True,True
threshold_low,C_frozen,2,4,704,352,0.003041510903561517,0.002101728953098725,,3,0.0030592921197260346,0.00234596259878701,,0,True,True
threshold_low,C_frozen,4,8,704,352,0.012535319314950588,0.008413637929405604,,2,0.012303350866758473,0.00892840498228284,,0,True,False
threshold_low,H_2x2,1,2,704,352,0.09571302577544827,0.08370411738313335,0.8815818902164011,3,0.09815759437861954,0.08767061239744753,0.8896543337053251,0,False,False
threshold_low,H_2x2,2,4,704,352,0.03842696473865302,0.03056990348750096,0.9097196407074796,3,0.04059600195942562,0.033363345108803635,0.9111850142303397,0,False,False
threshold_low,H_2x2,4,8,704,352,0.05383746093477642,0.04256555845501802,0.9196718129118758,2,0.05141496734981301,0.04090463208596289,0.9229704747561549,0,False,False
