seed,t,scheme,b,estimator,value
17000,500,majority,1,C_frozen,0.0
17000,500,majority,1,C_activity,1.0
17000,500,majority,1,H_2x2,0.6404004475107186
17000,500,majority,2,C_frozen,0.0
17000,500,majority,2,C_activity,1.0
17000,500,majority,2,H_2x2,0.5521596180546802
17000,500,majority,4,C_frozen,0.0
17000,500,majority,4,C_activity,1.0
17000,500,majority,4,H_2x2,0.5699122658782674
17000,500,majority,8,C_frozen,0.0
17000,500,majority,8,C_activity,1.0
17000,500,majority,8,H_2x2,0.5608807824550537
17000,500,threshold_low,1,C_frozen,0.0
17000,500,threshold_low,1,C_activity,1.0
17000,500,threshold_low,1,H_2x2,0.6404004475107186
17000,500,threshold_low,2,C_frozen,0.0
17000,500,threshold_low,2,C_activity,1.0
17000,500,threshold_low,2,H_2x2,0.5521596180546802
17000,500,threshold_low,4,C_frozen,0.0
17000,500,threshold_low,4,C_activity,1.0
17000,500,threshold_low,4,H_2x2,0.5323829499346118
17000,500,threshold_low,8,C_frozen,0.0
17000,500,threshold_low,8,C_activity,1.0
17000,500,threshold_low,8,H_2x2,0.44869769791079545
17000,500,threshold_high,1,C_frozen,0.0
17000,500,threshold_high,1,C_activity,1.0
17000,500,threshold_high,1,H_2x2,0.6404004475107186
17000,500,threshold_high,2,C_frozen,0.0
17000,500,threshold_high,2,C_activity,1.0
17000,500,threshold_high,2,H_2x2,0.7121052996765713
17000,500,threshold_high,4,C_frozen,0.0
17000,500,threshold_high,4,C_activity,1.0
17000,500,threshold_high,4,H_2x2,0.6759809100268425
17000,500,threshold_high,8,C_frozen,0.0
17000,500,threshold_high,8,C_activity,1.0
17000,500,threshold_high,8,H_2x2,0.7038323571112425
17000,500,average,1,C_frozen,0.0
17000,500,average,1,C_activity,1.0
17000,500,average,1,H_2x2,0.6404004475107186
17000,500,average,2,C_frozen,0.0
17000,500,average,2,C_activity,1.0
17000,500,average,2,H_2x2,0.5521596180546802
17000,500,average,4,C_frozen,0.0
17000,500,average,4,C_activity,1.0
17000,500,average,4,H_2x2,0.5699122658782674
17000,500,average,8,C_frozen,0.0
17000,500,average,8,C_activity,1.0
17000,500,average,8,H_2x2,0.5608807824550537
17000,520,majority,1,C_frozen,0.0
17000,520,majority,1,C_activity,1.0
17000,520,majority,1,H_2x2,0.6162386924823778
17000,520,majority,2,C_frozen,0.0
17000,520,majority,2,C_activity,1.0
17000,520,majority,2,H_2x2,0.5235738616093055
17000,520,majority,4,C_frozen,0.0
17000,520,majority,4,C_activity,1.0
17000,520,majority,4,H_2x2,0.5748054214922356
17000,520,majority,8,C_frozen,0.0
17000,520,majority,8,C_activity,1.0
17000,520,majority,8,H_2x2,0.5315457238444026
17000,520,threshold_low,1,C_frozen,0.0
17000,520,threshold_low,1,C_activity,1.0
17000,520,threshold_low,1,H_2x2,0.6162386924823778
17000,520,threshold_low,2,C_frozen,0.0
17000,520,threshold_low,2,C_activity,1.0
17000,520,threshold_low,2,H_2x2,0.5235738616093055
17000,520,threshold_low,4,C_frozen,0.0
17000,520,threshold_low,4,C_activity,1.0
17000,520,threshold_low,4,H_2x2,0.526397638507357
17000,520,threshold_low,8,C_frozen,0.0
17000,520,threshold_low,8,C_activity,1.0
17000,520,threshold_low,8,H_2x2,0.4635374738327896
17000,520,threshold_high,1,C_frozen,0.0
17000,520,threshold_high,1,C_activity,1.0
17000,520,threshold_high,1,H_2x2,0.6162386924823778
17000,520,threshold_high,2,C_frozen,0.0
17000,520,threshold_high,2,C_activity,1.0
17000,520,threshold_high,2,H_2x2,0.668878936553639
17000,520,threshold_high,4,C_frozen,0.0
17000,520,threshold_high,4,C_activity,1.0
17000,520,threshold_high,4,H_2x2,0.6654141341966474
17000,520,threshold_high,8,C_frozen,0.0
17000,520,threshold_high,8,C_activity,1.0
