policy,allocation_policy,ranking_base,alpha_used,K_used,r_floor_pae,r_floor_msa,r_floor_max,r_enter_usable_pae,r_enter_usable_msa,r_joint_usable,r_covjump_joint,covjump_joint_found,jump_delay_rounds,jump_type,delta_lag,final_pae_tpr_at_cap,final_msa_tpr_at_cap,final_cov_joint_at_cap,final_pae_fpr_floor_at_tpr_min,final_msa_fpr_floor_at_tpr_min,final_mae_c3_hat,pae_unit_cost,msa_unit_cost,cost_to_joint_usable,cost_to_covjump_joint,total_cost_final,auc_cov_joint_per_cost,leakage_pass,regret_cost_to_joint_usable,regret_cost_to_covjump_joint
adaptive_joint_gap__composite_batch_ff_rK__a0.7__K5000,adaptive_joint_gap,composite_batch_ff_rK,0.7,5000,4,4,4,4,4,4,4,False,,none,0,0.0,0.0,0.0,1.0,1.0,0.5171002921632982,1.0,2.0,140.0,,140.0,0.0,True,0.0,
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,adaptive_joint_gap,composite_batch_ff_uK,0.7,5000,4,4,4,4,4,4,4,False,,none,0,0.0,0.0,0.0,1.0,1.0,0.5158758044299471,1.0,2.0,150.0,,150.0,0.0,True,10.0,
