N,trial,x0,R0,gamma0,collapse_time,collapsed
10.0,0,0.14383296776895413,0.6913831418636287,2.2289804194311102,,False
10.0,1,0.1315788846494982,0.5017975413382072,1.5307571883725184,,False
10.0,2,0.14178235231845648,0.8823353679023246,1.945249171603077,,False
10.0,3,0.09206175006329075,0.6539389133279196,2.143519274768459,,False
10.0,4,0.12301841921290634,0.9025188872989565,2.4734004485456986,,False
10.0,5,0.0563581954855643,0.7550216328587092,1.529273559846323,,False
10.0,6,0.1524209875188131,0.7974154195171357,2.535392391397465,,False
10.0,7,0.07672415490077894,0.9838839134171968,3.490840063808691,,False
10.0,8,0.1445413595318019,0.5570512893185822,1.3568818670029013,,False
10.0,9,0.027008602525956604,0.5348592206371513,1.4494175051329892,,False
10.0,10,0.13916194494525075,0.9821303528388156,2.539371187275825,,False
10.0,11,0.07927355296557902,0.7082556962016944,1.5513606018358248,,False
10.0,12,0.040787440853675465,0.7116377094242635,1.602812196714011,,False
10.0,13,0.12717023914920164,0.6904335553797819,2.197055008876997,,False
10.0,14,0.13204241632035985,0.6218016527601226,1.9176470662724288,,False
10.0,15,0.1487622971994883,0.663113108466596,1.5273613196516849,,False
10.0,16,0.1291992806359961,0.5268638659851204,1.0551496344181,,False
10.0,17,0.021177963160160882,0.8828084076261762,2.7331567733590356,,False
10.0,18,0.1328264605802136,0.8794009670620824,2.420029541904419,,False
10.0,19,0.11099859135246301,0.5268883489702115,0.9908621381733275,,False
10.0,20,0.12694447388647545,0.7091029133787229,1.9738972998698923,,False
10.0,21,0.14239981718656408,0.7990950760003249,2.276479508685412,,False
10.0,22,0.10947314571926617,0.6171725539344367,1.1500086224063146,,False
10.0,23,0.08987478227717799,0.568021570050741,1.344799338242723,,False
10.0,24,0.15654449172290658,0.5786667172259374,1.0787850111124972,,False
10.0,25,0.06502142272351945,0.611476566771676,1.718461681663304,,False
10.0,26,0.10912514437460454,0.8811440150085275,2.726163374219457,,False
10.0,27,0.0850218978304113,0.8977112115663191,2.044201956245076,,False
10.0,28,0.023633931701417678,0.4995263234266029,1.3438303922374586,,False
10.0,29,0.093900356840222,0.538699478468481,1.3223904338684238,,False
13.421052631578947,0,0.044369936434106944,0.8329762062927548,2.079623518356842,,False
13.421052631578947,1,0.0809633961754372,0.615831649031332,1.5173623246401533,,False
