N,collapse_rate,median_time,p25_time,p75_time
10.0,0.0,400.0,400.0,400.0
13.421052631578947,0.0,400.0,400.0,400.0
16.842105263157894,0.0,400.0,400.0,400.0
20.263157894736842,0.0,400.0,400.0,400.0
23.684210526315788,0.0,400.0,400.0,400.0
27.105263157894736,0.0,400.0,400.0,400.0
30.526315789473685,0.0,400.0,400.0,400.0
33.94736842105263,0.06666666666666667,400.0,400.0,400.0
37.368421052631575,0.03333333333333333,400.0,400.0,400.0
40.78947368421053,0.26666666666666666,400.0,116.05000000000001,400.0
44.21052631578947,0.3,400.0,24.0,400.0
47.63157894736842,0.5666666666666667,14.100000000000001,9.1,400.0
51.05263157894737,0.7333333333333333,12.600000000000001,9.05,309.8
54.473684210526315,1.0,9.8,8.200000000000001,10.95
57.89473684210526,1.0,8.5,7.800000000000001,9.95
61.31578947368421,1.0,8.4,7.7,9.200000000000001
64.73684210526315,1.0,8.200000000000001,7.800000000000001,8.75
68.15789473684211,1.0,8.200000000000001,7.800000000000001,8.6
71.57894736842105,1.0,8.4,7.800000000000001,9.0
75.0,1.0,8.0,7.6000000000000005,9.15
