t,x,R,gamma,mu
0.0,0.05,0.95,1.0,-0.345
0.1,0.04832638661759234,0.9541671867458451,1.0249001236325668,-0.37112968028781934
0.2,0.04658961584869006,0.9579412555154596,1.0495772023448455,-0.39734551284990105
0.30000000000000004,0.04479994142135063,0.9613598267457721,1.0739998013402852,-0.4235759175371473
0.4,0.04296799687475266,0.9644582438651511,1.098140867230116,-0.44975662119750326
0.5,0.0411046099071244,0.9672693090718204,1.121977380724736,-0.4758304787050447
0.6000000000000001,0.03922062362105444,0.9698231458446589,1.1454899983012934,-0.501747166701359
0.7000000000000001,0.03732672864919898,0.972147163148069,1.168662694381568,-0.5274627864246194
0.8,0.035433309426005005,0.9742660983559872,1.1914824128913364,-0.5529394069492151
0.9,0.03355030713685013,0.9762021186547823,1.213938734716291,-0.5781445748702452
1.0,0.03168710115208888,0.97797496367926,1.2360235655574283,-0.60305081135758
1.1,0.02985241006173089,0.9796021151075871,1.2577308470228217,-0.6276351128305575
1.2000000000000002,0.028054212784059757,0.9810989817124858,1.2790562924524838,-0.6518784674017434
1.3,0.026299689641551594,0.9824790908405295,1.2999971479254235,-0.6757653957540316
1.4000000000000001,0.024595182789445853,0.9837542794288652,1.320551978104106,-0.6992835222389483
1.5,0.02294617495242125,0.9849348794669941,1.3407204759914069,-0.7224231796693936
1.6,0.021357285076161407,0.9860298942911153,1.360503295270944,-0.7451770494631289
1.7000000000000002,0.019832279233496113,0.9870471632928557,1.3799019036391358,-0.7675398374033928
1.8,0.018374094937098177,0.9879935135707266,1.3989184553866338,-0.7895079842503067
1.9000000000000001,0.016984876898022423,0.9888748977892712,1.417555681422555,-0.8110794096967218
2.0,0.015666022225464978,0.9896965180730303,1.4358167949361356,-0.8322532876576354
2.1,0.014418233080323693,0.9904629361817235,1.4537054109397756,-0.8530298505641793
2.2,0.013241574864756196,0.9911781705166816,1.4712254780210463,-0.8734102201602422
2.3000000000000003,0.012135538142670611,0.991845780719594,1.4883812207379898,-0.8933962622379532
2.4000000000000004,0.011099102632475271,0.9924689407622069,1.5051770912132176,-0.9129904627698747
2.5,0.010130801784184788,0.9930505015054484,1.5216177286111088,-0.932195822978427
2.6,0.00922878663937733,0.9935930437414665,1.5377079253135875,-0.951015771008985
2.7,0.008390887866546876,0.9940989227327058,1.553452598739574,-0.9694540880280533
2.8000000000000003,0.0076146750590855,0.9945703052369346,1.568856767878341,-0.987514846740768
2.9000000000000004,0.006897512572539323,0.9950091999629918,1.583925533725565,-1.0052023605039855
3.0,0.006236611357118159,0.9954174823445396,1.5986640629214444,-1.0225211413956474
3.1,0.005629076407042935,0.9957969144528256,1.6130775739919465,-1.0394758657827925
3.2,0.005071949597601188,0.9961491607980214,1.627171325686609,-1.0560713461057114
3.3000000000000003,0.004562247812147886,0.996475800695035,1.6409506069892072,-1.072312507761517
3.4000000000000004,0.004096996374001771,0.9967783377960735,1.654420728451158,-1.0882043701249235
3.5,0.003673257892247244,0.9970582073204662,1.667587014562069,-1.103752030886063
3.6,0.003288156706457308,0.9973167814436683,1.680454796927865,-1.1189606530141365
3.7,0.0029388991743660893,0.9975553732429273,1.69302940807497,-1.133835453771329
3.8000000000000003,0.002622790089937197,0.9977752395374806,1.7053161757397681,-1.1483816953039891
3.9000000000000004,0.0023372455487146457,0.9979775829067419,1.7173204175366665,-1.1626046764279319
4.0,0.0020798025945445876,0.9981635531209291,1.729047435926236,-1.176509725302647
4.1000000000000005,0.0018481259884934463,0.9983342481749875,1.7405025134277967,-1.1901021927558673
4.2,0.00164001243880479,0.9984907150783495,1.751690908039091,-1.2033874460763943
4.3,0.0014533926216936653,0.9986339505198132,1.7626178488399868,-1.2163708631401522
4.4,0.001286331308212446,0.998764901498313,1.7732885317680525,-1.229057826773181
4.5,0.0011370258937297671,0.9988844659862351,1.7837081155618766,-1.2414537192866402
4.6000000000000005,0.0010038036049768795,0.998993493671811,1.793881717873665,-1.2535639171437682
4.7,0.000885117636201182,0.9990927868105969,1.8038144115563555,-1.2653937857380895
4.800000000000001,0.0007795424416283338,0.9991831012027167,1.8135112211326394,-1.2769486742767224
4.9,0.0006857683869188443,0.9992651473020037,1.8229771194542008,-1.2882339107732375
5.0,0.0006025959382129623,0.9993395914550587,1.8322170245594624,-1.2992547971618018
5.1000000000000005,0.0005289295441568067,0.9994070572621868,1.8412357967374124,-1.3100166045489265
5.2,0.0004637713443426954,0.9994681270478578,1.850038235803876,-1.320524568621579
5.300000000000001,0.00040621481712438726,0.9995233434254664,1.8586290785950703,-1.3307838852311644
5.4,0.00035543846094254023,0.9995732109394766,1.8670129966815572,-1.3407997061723393
5.5,0.00031069958620290366,0.9996181977672881,1.8751945943039268,-1.350577135174153
5.6000000000000005,0.0002713282794155105,0.999658737463166,1.8831784065297537,-1.360121224118855
5.7,0.00023672158770571952,0.9996952307271354,1.8909688976296646,-1.3694369695011757
5.800000000000001,0.00020633795988891343,0.9997280471827287,1.8985704596687643,-1.3785293091380613
5.9,0.00017969196997430048,0.9997575271487518,1.90598741130823,-1.3874031191359992
6.0,0.00015634934012479233,0.9997839833916973,1.9132239968106184,-1.3960632111202145
6.1000000000000005,0.00013592227263229715,0.9998077028470066,1.9202843852413465,-1.4045143297273097
6.2,0.0001180650942472932,0.9998289482989902,1.9271726698579086,-1.412761150360399
6.300000000000001,0.00010247021110248171,0.9998479600108093,1.9338928676776705,-1.4208082772034762
6.4,8.886436836837742e-05,0.9998649572974617,1.9404489192145389,-1.428660241489731
6.5,7.700520555380352e-05,0.9998801400361668,1.9468446883744168,-1.4363215000167502
6.6000000000000005,6.667809590251355e-05,0.9998936901098987,1.953083962499122,-1.4437964339000378
6.7,5.7693256532218846e-05,0.999905772781048,1.959170452548341,-1.4510893475550661
6.800000000000001,4.98831147162218e-05,0.999916537993299,1.9651077934092045,-1.458204467897076
6.9,4.309991493156869e-05,0.9999261216007969,1.9708995443231934,-1.4651459437471148
7.0,3.721355091104736e-05,0.999934646524529,1.9765491894202853,-1.4719178454322663
7.1000000000000005,3.210960686821904e-05,0.9999422238365885,1.9820601383505336,-1.4785241645677107
7.2,2.768759225226252e-05,0.9999489537736025,1.9874357270036096,-1.4849688140080892
7.300000000000001,2.3859354778058985e-05,0.9999549266811271,1.9926792183072264,-1.491255627955657
7.4,2.0547657019495038e-05,0.9999602238912251,1.9977938030957847,-1.497388362212839
7.5,1.7684902510146853e-05,0.9999649185357706,2.002782601041034,-1.5033706945670473
7.6000000000000005,1.5211998031325148e-05,0.999969076298272,2.007648661637005,-1.5092062252959608
7.7,1.3077339554524003e-05,0.9999727561071805,2.012394965231946,-1.5148984777818724
7.800000000000001,1.1235910120234298e-05,0.9999760107737692,2.017024424100482,-1.520450899224186
7.9,9.648478758854941e-06,0.9999788875777257,2.021539883549676,-1.5258668614396576
8.0,8.280890376889212e-06,0.9999814288036192,2.025944123053156,-1.53114966174053
8.1,7.103437330879319e-06,0.9999836722313815,2.0302398574079166,-1.5363025238812564
8.200000000000001,6.090304183562429e-06,0.9999856515838849,2.0344297379088427,-1.5413285990651149
8.3,5.21907787486751e-06,0.999987396934623,2.03851635353644,-1.5462309670025673
8.4,4.470316239955655e-06,0.9999889350783995,2.0425022321536406,-1.551012637013809
8.5,3.827168464534351e-06,0.9999902898678139,2.046389841707952,-1.5556765491685096
8.6,3.2750416824983834e-06,0.9999914825182075,2.0501815914355723,-1.5602255754563
8.700000000000001,2.8013084920069593e-06,0.9999925318835969,2.0538798330644323,-1.5646625209820813
8.8,2.395050693701323e-06,0.9999934547059846,2.057486862013446,-1.5689901251807488
8.9,2.046835039872259e-06,0.9999942658402894,2.0610049185855464,-1.573211063046395
9.0,1.7485172274802992e-06,0.9999949784570046,2.06443618915236,-1.5773279463715277
9.1,1.4930707728588467e-06,0.9999956042245438,2.0677828073286237,-1.5813433249922593
9.200000000000001,1.2744377737914377e-06,0.9999961534731019,2.0710468551346786,-1.5852596880358223
9.3,1.0873988977088214e-06,0.9999966353417223,2.0742303641456035,-1.589079465167174
9.4,9.274602353441322e-07,0.9999970579101359,2.0773353166257302,-1.592805027831754
9.5,7.907549296841341e-07,0.9999974283168112,2.080363646647474,-1.5964386904918388
9.600000000000001,6.739577328075066e-07,0.9999977528645417,2.08331724119357,-1.5999827118541965
9.700000000000001,5.742108604945151e-07,0.9999980371147857,2.086197941241956,-1.6034392960870398
9.8,4.890597085273282e-07,0.9999982859718674,2.0890075428326735,-1.6068105940245274
9.9,4.1639716747264353e-07,0.9999985037580558,2.0917477981162866,-1.6100987043572936
10.0,3.544154264259952e-07,0.9999986942804444,2.0944204163834104,-1.6133056748076922
10.100000000000001,3.015642925519889e-07,0.9999988608904713,2.0970270650750575,-1.6164335032886448
10.200000000000001,2.5651517399897407e-07,0.9999990065368409,2.099569370773585,-1.6194841390451449
10.3,2.1812998049233972e-07,0.9999991338125396,2.102048920174099,-1.622459483777633
10.4,1.8543429008159906e-07,0.9999992449965668,2.1044672610362554,-1.6253613927465964
10.5,1.5759421347228922e-07,0.9999993420909465,2.106825903116442,-1.6281916758578778
10.600000000000001,1.3389646033497903e-07,0.9999994268535272,2.109126319080387,-1.6309520987282895
10.700000000000001,1.1373117605801689e-07,0.9999995008270247,2.1113699453962855,-1.63364438373122
10.8,9.657717359965178e-08,0.9999995653647227,2.1135581832085744,-1.6362702110220388
10.9,8.198923430150117e-08,0.9999996216531961,2.115692399192518,-1.6388312195431447
11.0,6.958719456003177e-08,0.9999996707323896,2.1177739263898094,-1.6413290080086207
11.100000000000001,5.9046572842346395e-08,0.9999997135133467,2.119804065025402,-1.6437651358684704
11.200000000000001,5.0090524326341984e-08,0.999999750793854,2.121784083305818,-1.6461411242525132
11.3,4.248293902185313e-08,0.9999997832722367,2.1237152181992007,-1.6484584568940277
11.4,3.602252410325016e-08,0.9999998115595174,2.1255986761973844,-1.6507185810332956
11.5,3.053773281164663e-08,0.9999998361901242,2.1274356340602787,-1.6529229083012225
11.600000000000001,2.5882421070612152e-08,0.9999998576313167,2.129227239542864,-1.6550728155832517
11.700000000000001,2.1932129260306376e-08,0.999999876291479,2.1309746121051125,-1.6571696458638039
11.8,1.858090072635102e-08,0.9999998925274112,2.13267884360515,-1.65921470905151
11.9,1.5738560839008112e-08,0.9999999066507369,2.134340998975977,-1.6612092827855092
12.0,1.3328391009256987e-08,0.9999999189335319,2.1359621168860756,-1.6631546132231119
12.100000000000001,1.1285141225258188e-08,0.9999999296132648,2.1375432103842282,-1.6650519158091353
12.200000000000001,9.553332583098362e-09,0.9999999388971328,2.1390852675288725,-1.6669023760272275
12.3,8.085808113841551e-09,0.9999999469658643,2.1405892520023166,-1.668707150133502
12.4,6.8424960982904546e-09,0.9999999539770521,2.142056103710144,-1.6704673658728262
12.5,5.7893551367580656e-09,0.9999999600680749,2.143486739366126,-1.6721841231780834
12.600000000000001,4.897474612773476e-09,0.9999999653586553,2.144882053062962,-1.6738584948527646
12.700000000000001,4.142307952086265e-09,0.9999999699530998,2.146242916829167,-1.6754915272372102
12.8,3.5030193142961257e-09,0.9999999739422591,2.1475701811724135,-1.6770842408588629
12.9,2.9619271357713853e-09,0.9999999774052429,2.148864675609643,-1.678637631066853
13.0,2.5040303315923075e-09,0.9999999804109193,2.150127209184243,-1.6801526686512642
13.100000000000001,2.1166050151300237e-09,0.9999999830192258,2.1513585709705985,-1.681630300447415
13.200000000000001,1.7888613533818437e-09,0.999999985282314,2.152559530566302,-1.68307144992548
13.3,1.511651684856123e-09,0.999999987245551,2.153730838572321,-1.684477017765789
13.4,1.277222319675171e-09,0.9999999889483917,2.154873227061399,-1.6858478824201257
13.5,1.0790025489129832e-09,0.9999999904251425,2.155987410034975,-1.6871849006593416
13.600000000000001,9.114253381334763e-10,0.999999991705626,2.15707408386889,-1.6884889081076049
13.700000000000001,7.697749911784864e-10,0.9999999928157615,2.158133927748153,-1.6897607197635978
13.8,6.500577638928952e-10,0.999999993778071,2.1591676040910204,-1.6910011305089603
13.9,5.488920003904657e-10,0.999999994612121,2.1601757589626596,-1.6922109156042824
14.0,4.634148710497286e-10,0.9999999953349061,2.161159022478634,-1.6933908311729453
14.100000000000001,3.9120322406042953e-10,0.9999999959611852,2.1621180091984633,-1.6945416146730894
14.200000000000001,3.3020643165321885e-10,0.9999999965037722,2.1630533185094976,-1.695663985358002
14.3,2.786894272724808e-10,0.9999999969737912,2.1639655350013394,-1.6967586447251952
14.4,2.3518439873415244e-10,0.9999999973808967,2.164855228831048,-1.6978262769544508
14.5,1.984498315717027e-10,0.999999997733467,2.165722956079343,-1.6988675493350913
14.600000000000001,1.6743579207899859e-10,0.9999999980387713,2.1665692590980328,-1.6998831126827452
14.700000000000001,1.412545059478368e-10,0.9999999983031154,2.1673946668488813,-1.7008736017458537
14.8,1.1915543010007662e-10,0.9999999985319689,2.168199695234121,-1.7018396356021732
14.9,1.0050413594956455e-10,0.9999999987300747,2.168984847418815,-1.702781818045511
