seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
144,pregrok,embed.weight,gaussian_random,0.01,0,400.0,2000.0,0.505,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.01,1,800.0,2000.0,0.501,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.01,2,1400.0,2000.0,0.494,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.02,0,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.02,1,500.0,2000.0,0.502,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.02,2,900.0,2000.0,0.5,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.05,0,1900.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.05,1,2000.0,2000.0,0.492,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.05,2,1300.0,2000.0,0.498,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.005,0,800.0,2000.0,0.503,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.005,1,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.005,2,300.0,2000.0,0.502,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.01,0,1000.0,2000.0,0.499,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.01,1,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.01,2,200.0,2000.0,0.503,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.02,0,1000.0,2000.0,0.502,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.02,1,1800.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.02,2,500.0,2000.0,0.493,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.05,0,900.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.05,1,2000.0,2000.0,0.494,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.05,2,2000.0,2000.0,0.495,1.0,0.4915
