step,d_force,d_info,d_constraint,d_force_alt,d_info_alt,d_constraint_alt,acc_test
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0125
500,0.41336169582791626,0.07961759139088576,0.19048678033110944,0.20668084791395813,0.19136924911075104,0.09524339016555473,0.5085
1000,1.2115569482557476,0.003829205167028671,0.01761883340830711,0.3349587001139298,0.008859313683306613,0.03762074119128728,0.507
1500,0.06551975337788463,0.014022435060784044,0.01655631796476867,0.15109941171249375,0.03273366303847647,0.014671291104451478,0.5025
2000,0.3752862988039851,0.00011690571910238923,0.02132102962603205,0.1657169067882931,0.000274836043993254,0.01306698058787728,0.5105
2500,0.6672733363229781,0.00028477905334745035,0.01800979732974739,0.35504702683538225,0.0006694367051807149,0.038972105614186514,0.51
3000,0.15762487659230828,0.00040540582893799915,0.01359017615441957,0.4692443413194267,0.0009526680436482415,0.003592784778848529,0.511
3500,0.12046207534149289,0.0005857499614272399,0.012331946222791296,0.2028405365999788,0.0013757789298685097,0.0023973711473711246,0.5065
4000,0.9440240587573498,0.0108283249594876,0.006804968287526442,0.027139675524085805,0.02556371271057234,0.0004471012119227069,0.508
4500,1.0587449232116342,0.0004757008841157484,0.020348837209302334,0.1638314004056156,0.0011288663626825013,0.0006415396952686725,0.514
5000,0.07591117639094591,0.0006768387254424413,0.0037888685654559606,0.045558968419209034,0.001605253058911682,0.003718193483772031,0.5145
5500,0.04638145235367119,0.0008290637300135684,0.014044943820224726,0.023310283571481794,0.0019648039599853284,0.0038091470169330788,0.5165
6000,0.10508187010418624,0.0007461192716415876,0.047880854060629335,0.06841907266061753,0.0017668411983322585,0.0033006345506345625,0.5115
6500,0.15924166201148182,0.0009270497138331724,0.036389536389536375,0.2890722168143839,0.0021934561938143915,0.005338266384778023,0.517
7000,0.055316025391221046,0.0009009993404571759,0.02781917536015896,0.06626002709381285,0.0021298717715172444,0.004295336129114258,0.5095
7500,11.002631277544424,0.00059982392183211,0.010491199468647155,2.149448463693261,0.001416859735998699,0.002954869948475991,0.434
8000,10.665643906453624,0.00877662757493003,0.008264079112307893,0.025595972873270423,0.020816499695220703,0.0074166745349825425,0.5155
8500,0.2587923826649785,0.0007123998131717268,0.030411018275505047,0.005146129638887942,0.0016964988573513473,0.008241699932244329,0.52
9000,0.08300152118317783,0.0008068790527866465,0.00042013629221321347,0.010101898526772679,0.0019200313105787181,0.0008797653958944329,0.519
9500,0.060083676828071475,0.0009016304046890466,0.03448845566065012,0.012978041917085736,0.00214366749801842,0.0004540906642037934,0.516
10000,0.010216813534498215,0.0009366029832795775,0.044196211753278314,2.211460934719071,0.002224770644232432,0.006286911792722422,0.519
10500,0.0029958372469991446,0.0009982637331090727,0.015018278826202963,0.07773298597894618,0.002368944321012645,0.0049360718499434075,0.522
11000,0.14413302071625367,0.0010226037925111786,0.020146342253087923,0.05480111358920109,0.0024242540730461393,0.005175400255775148,0.5205
11500,0.0996335395029746,0.0009277601622204035,0.010309527258679813,0.018274101451970615,0.002197267517308088,0.0030294675455966036,0.5225
12000,0.0893943514674902,0.0010679143127457769,0.023246905599846768,0.024136236379854403,0.002526680173073892,0.0007811575334359111,0.5165
12500,0.3843180827097967,0.007796823357790528,0.021806487958311804,0.050684017455205344,0.018509462347487737,0.0052591022924292075,0.521
13000,0.1908810925669968,0.0006041460059228454,0.011117793216959188,0.011908631492406119,0.001439391036747395,0.004479005170580447,0.5205
13500,0.13352939451579005,0.0006160471672403967,0.0017188146544864225,0.014029356732498832,0.0014668506204564835,0.0007934996508601466,0.5245
14000,0.013422539574094117,0.0007425036336637936,0.021890740023246813,0.008581859082914867,0.0017667516471231437,0.0015227429020532313,0.5305
14500,0.06097555684391409,0.0008327509036145653,0.028172513167047608,0.00289810015819969,0.0019799306309420395,0.000537621388613102,0.5265
15000,0.060991775477305055,0.000835740290917264,0.027198423940474448,0.067563361604698,0.0019853811477341665,0.0016160085850455697,0.528
15500,0.08064208674477413,0.0008981527477588402,0.0064008360275627785,0.045515560440253455,0.0021317989723370623,0.0025594000229249014,0.5305
16000,0.03852325776824728,0.0008764452549344659,0.0013673058343840472,0.01110502998344598,0.0020784304192651426,0.003176624120699023,0.531
16500,0.3346487443195656,0.005336700268927075,0.010153103637522892,0.05850922679528592,0.012683892165354038,0.00323214461145499,0.5315
