step,d_force,d_info,d_constraint,d_force_alt,d_info_alt,d_constraint_alt,acc_test
1,0.0,0.0,0.0,0.0,0.0,0.0,0.01
500,0.3644243141170591,0.08329180432165584,0.1649943023550266,0.18221215705852956,0.19957113194817078,0.0824971511775133,0.5185
1000,0.9045209789182991,0.002536358376475145,0.0042165928627246885,0.3622443786589429,0.005835053342733598,0.026093519438262866,0.5145
1500,0.7201778271701187,0.0008966933985771197,0.008361919367206122,0.3611666461220011,0.0020664436240296347,0.015137239560932977,0.504
2000,0.1985759895760566,0.0002200677086529046,0.009222683036997498,0.17698478975798926,0.0005074326391341089,0.010926880343959278,0.5
2500,0.6854021798353642,0.013528249615560761,0.004630423598010636,0.2210289901588114,0.031408876722276435,0.034746377659698985,0.5155
3000,0.5658625238575041,0.0005211065380942292,0.006102999859161545,0.26131663210690004,0.0012177509511785978,0.0005269172168613501,0.513
3500,0.03910655854269862,0.0005078405163845279,0.023598535927566944,0.0882337480317803,0.0011861397732801926,0.003349471396107112,0.513
4000,0.4537907602498308,0.0006856806538858562,0.025886082028623553,0.03495633464772241,0.0016005573952826424,0.00015536113617639624,0.5125
4500,0.15261568583082408,0.0007573361944415158,0.003912602444168939,0.04414839539676918,0.0017665450772628155,0.0009066549823893433,0.511
5000,0.29335243988316506,0.0007916958527681706,0.014516552811350503,0.23989931934047481,0.0018452618956166233,0.002883880825057278,0.5135
5500,0.06658669572789222,0.000836700268029622,0.0005599472990777399,0.14004415371455248,0.0019485697289560733,0.001551291393409454,0.513
6000,0.5187486847862601,0.010202754718839802,0.013121484583487303,0.028473105048760772,0.023872569882459782,0.005792712708801412,0.519
6500,0.2947674412280321,0.0006252439049440062,0.0017795156206359963,0.0033315587555988735,0.0014699719496702457,0.0009713994272038673,0.5225
7000,0.05971682909876108,0.0007269242383012298,0.002299673748706932,0.015248212590813548,0.001707871194688515,0.00027105581137124024,0.5175
7500,0.21505190059542656,0.000778195713388774,0.0057732536113719035,0.0004118952667340192,0.0018269554891596762,0.0014776040286244019,0.522
8000,0.0379099230049178,0.0009043908396417777,0.021417984592081052,0.00614724981132897,0.0021214359395878013,0.002917982349607301,0.5165
8500,0.03195538930594921,0.0009449623866155665,0.014589911748036588,0.10399356500711299,0.0022145562136026697,0.002624296916697466,0.518
9000,0.062030348693951964,0.0009479561092569089,0.01427962489343565,0.05744614650029689,0.002219470487148545,0.00012427506213752437,0.5205
9500,0.6699143158039078,0.007940932411639845,0.002234008357441336,0.06459335084073248,0.018657449491622735,0.00011114198388442742,0.52
10000,0.4760292787104845,0.0003949977758241907,0.020818221384012764,0.012397875217720844,0.0009315643621006231,0.0031201355384125606,0.5265
10500,0.08519643545150757,0.0005935097614673257,0.021894089431505753,0.0029405727284029792,0.0013990441946294396,0.005542279266304767,0.529
11000,0.15128737094346434,0.0007309471362191289,0.014545334062256693,0.020925823599100113,0.001721876256923327,0.000284769895753878,0.528
11500,0.043985661934129894,0.0007964334736176859,0.012227538543328031,0.0002773785265162143,0.001874708760460031,0.0006951871657753794,0.53
12000,0.09511309763183817,0.000841299183181099,0.0023177955189286614,0.15272810416063293,0.001978696307959993,0.00021517360949857567,0.529
12500,0.04714304447406903,0.0008848893233418531,0.008848621015271396,0.0480936395237222,0.002079422771642747,0.0026090936832468825,0.5275
13000,0.07069614913780242,0.0008611974452316096,0.009897828863346086,0.04519358226098125,0.0020219826028009535,0.00020984156961492695,0.532
13500,0.39792676526121795,0.006626784629099602,0.007449375721330392,0.06464924497995528,0.015603797321006585,0.004608783526332372,0.533
14000,0.09830381395295262,0.0003312781581404911,0.02832861189801697,0.03619134980253874,0.000782503892244435,0.0035024465619366563,0.529
14500,0.16533957317005843,0.000530551719692518,0.031096349842076126,0.022146054694894723,0.0012526631137155242,0.002253264302692848,0.5365
15000,0.0068297297693789005,0.0006248926973883018,0.01540229885057473,0.011351499846205093,0.0014745554632313862,0.0009425287356321921,0.538
15500,0.06956289347726852,0.0007464391647987734,0.03100286532951288,0.011578150978311885,0.0017601606326826946,0.007237610102939607,0.537
16000,0.03414077346678823,0.000731242001671073,0.060042413352111745,0.07483535676728931,0.001723051027811895,0.003280997423216636,0.5465
16500,0.009635512542445213,0.0007774432703939738,0.0001295064186618844,0.05710169648518787,0.0018305353219290055,0.008972621086552418,0.543
17000,0.05319711973425001,0.0007772170818206581,0.027612858475842883,0.013394357904326193,0.0018285807841538215,0.002769220577031356,0.5405
17500,0.476880305504892,0.0054551661754987935,0.02099281568372771,0.08334764915052806,0.012864595358749842,0.00388732394366198,0.536
18000,0.40428464696742594,0.0001818449220828411,0.01607479635648648,0.016403298452496495,0.0004299657610324914,0.005528208393537931,0.5415
18500,0.10415196663234383,0.0004937929783985773,0.015996384268338937,0.0024010598193854316,0.0011671613459331986,0.0032809974232166916,0.5455
19000,0.02077351906336844,0.000593246643217471,0.007975469997424656,0.00017345851520073063,0.0014014745960144737,0.004901992706433933,0.5475
19500,0.03419788216706365,0.0006866283222394243,0.01896141649048627,0.003626388998236474,0.001621040011750008,0.003171704309362644,0.548
20000,0.08556335675530136,0.0007197663579627811,0.01094050221957199,0.1161151214502752,0.00169808009467598,0.0032149592712972797,0.552
20500,0.014889239275362343,0.0007687517913320674,0.0026335320452967603,0.038236039911862474,0.001812297710535038,0.0005267064090593576,0.548
21000,0.03186891524819657,0.0007565659552662973,0.007509900511928902,0.01103186353575436,0.001782210412657026,0.001170590342222666,0.553
21500,0.009129761601798236,0.0007324918733251362,0.004767686579245589,0.008703112043440375,0.0017242159071546581,0.001378040973111394,0.554
22000,0.16579984978307039,0.005285527930971368,0.009568022661106318,0.01761728147976105,0.012469998002762495,0.007083928803429923,0.5565
22500,0.06899539905134588,0.000322110670201603,0.012228429546865316,0.020930873020552077,0.0007618341069397516,0.0024501424501424396,0.5615
23000,0.08332669292576611,0.00042616125415617656,0.020821661998132568,0.007243382290471334,0.0010075503971886945,0.0022408963585434094,0.561
