step,d_force,d_info,d_constraint,d_force_alt,d_info_alt,d_constraint_alt,acc_test
1,0.0,0.0,0.0,0.0,0.0,0.0,0.012
500,0.43407867662608624,0.0828387147534847,0.13350801819240513,0.21703933831304312,0.19852797543918577,0.06675400909620258,0.5145
1000,0.8779875035397708,0.0035671890058633915,0.03155843946737083,0.36500894728427147,0.008214420863822625,0.03277081618785779,0.509
1500,0.03657917305827141,0.01396718417715559,0.005033448074300173,0.17335968037756766,0.03244669973558789,0.015127046075353853,0.512
2000,0.44367993576452136,6.704454016537298e-05,0.0014800903969188484,0.19275179537944487,0.0001568338967472549,0.009372245724596079,0.5105
2500,0.21432472416199744,0.0002984169373690948,0.011144215427696919,0.386698333406821,0.0006979440806005321,0.03453146308201832,0.514
3000,0.15608484111726284,0.0004536892190951658,0.035784458198251295,0.3310995663050562,0.0010606993507842333,0.0006729678038870368,0.5115
3500,0.06651339237578213,0.0005677368747034617,0.03336039090229034,0.16880474407225843,0.0013266585144209309,0.0010333580908709339,0.5115
4000,0.12589645490515977,0.0006662457472251804,0.005887286941934272,0.20129986966494473,0.0015558887552344913,0.0008625903173440919,0.5115
4500,0.10191972623579204,0.0006205398109582205,0.0030939908525488002,0.13294782775919878,0.0014482192578473274,0.00118537040847011,0.5105
5000,0.013534893514588475,0.0005975621234172168,0.0010484864977349517,0.09278986162971714,0.0013937446813003795,0.0012531699766162863,0.511
5500,0.23960154049564153,0.012841353945794332,0.014785422233669243,0.01365258530713609,0.030135101662945196,0.0029466372163001187,0.5145
6000,0.012944064801558852,0.000510436984643925,0.018113674063409607,0.0022389061283319966,0.001205254118360699,0.00010270615147600637,0.518
6500,0.27011245116591454,0.000585340506953913,0.011142061281337046,0.026604293123818956,0.0013813607935277972,0.0011536610193565444,0.515
7000,0.11670425988268107,0.00067768117025091,0.007579740280120845,0.017120504099875644,0.0015982683717252755,0.0002565111338421744,0.5135
7500,0.2724361031432636,0.0006866739850427406,0.029021185939164418,0.034659737825859294,0.0016183729656287227,0.005851051022128045,0.514
8000,0.09128665184834972,0.0008286806236535993,0.04931256170089812,0.06432271555531766,0.0019515790792117294,0.006968545764785422,0.515
8500,0.08684459561482072,0.0007621073380277288,0.032457123873593285,0.08428044763859366,0.001793369072213391,0.003145613822615162,0.512
9000,0.5726789535256103,0.008642059588820028,0.00902691511387163,0.08427783329971139,0.0204165915233947,0.0008881814564265789,0.5225
9500,0.3978167425375432,0.00047134595886566544,0.010011937922801417,0.018626367184333525,0.0011180949135844997,0.0026301541841578513,0.521
10000,0.08279757027048618,0.0005638857902215966,0.012356260267123775,0.01930133939022194,0.0013369194403023421,0.005645335057099743,0.523
10500,0.07362457376439124,0.0006416302206112556,0.003016591251885359,0.01576892377343031,0.0015203274117627785,0.0048204955334569255,0.523
11000,0.11556597845628858,0.0006888299312647339,0.005085607730123731,0.010024647205136739,0.0016310805930168648,0.0026880507872864556,0.525
11500,0.028077914961613715,0.00074640143749094,0.0022878151766434207,0.11012672649230809,0.0017661363233174576,0.0013402307998408303,0.5255
12000,0.3382811587071046,0.006300646682756428,0.012903840201890338,0.03709285375662147,0.014950085602057683,0.0007618503440230684,0.5105
12500,0.315089063718915,0.0004383653334913973,0.0009113524963668962,0.009365444933064238,0.0010431986546759475,0.0018916722086750881,0.511
13000,0.06470418721437454,0.0005919712559592227,0.006139929554915158,0.011149522243067644,0.0014080163684901947,0.00251633986928107,0.5165
13500,0.08461323834490031,0.0006523166609605502,0.04019274376417234,0.004958974220790002,0.0015505842307041995,0.00450508733752869,0.518
14000,0.0002031151670962572,0.000745280243264479,0.014816095929897383,0.0006972318049520143,0.0017703250657130631,0.001084305116220513,0.519
14500,0.06959353963611647,0.0008256983572100252,0.006656841070989933,0.0808777078636922,0.0019598087802354947,0.002333704942400594,0.522
15000,0.014707886381074786,0.0007779451449154706,0.0012353154898873675,0.02080147239612412,0.0018449857879594411,0.002763038539651458,0.5185
15500,0.015450088772922754,0.000831797455718819,0.0005940292037600325,0.0306522920844145,0.0019711155695580906,0.0041098302913864515,0.518
16000,0.010187869775108993,0.0008700363857567783,0.00880064657811594,0.01576721837045625,0.002059976988634915,0.005688847777071154,0.5195
16500,0.14348287013126537,0.0058743567662729035,0.0003402598635795506,0.012888732622377552,0.01394352428603396,0.00265757661837579,0.538
17000,0.13133012468460947,0.0003314555728709534,0.008379888268156416,0.0005414156126789527,0.0007889338078914676,0.0003497692494534854,0.5365
17500,0.009135924628935754,0.0005150255641641621,0.005586592178770944,0.0016558079631068257,0.0012253501832293345,0.0010146122842781546,0.537
18000,0.0038218904519453645,0.0005565450229990665,0.0024703716859883207,0.002198587881866887,0.0013234241306854244,0.0016274924622278475,0.541
18500,0.018761688959784806,0.0005926414582541062,0.0027468590264176085,0.0035913238651119617,0.0014084493480903681,0.0004167349518881813,0.5415
19000,0.0921305968076922,0.000720072300991137,0.020266505710836658,0.04353136952267961,0.0017101738441125391,0.00356851421756324,0.539
19500,0.0111755890538916,0.0006897604574362948,0.023429163266587172,0.019500462396536022,0.0016370287479214873,0.0027932960893854997,0.538
20000,0.5488998221117072,0.004883237564486498,0.013452949689547328,0.09210668695159258,0.011613868123542037,0.0010146122842781824,0.524
20500,0.34702072851359844,3.328098799315615e-05,0.010290292133796813,0.023466919339261927,7.934470890269552e-05,0.0005493718052835272,0.544
21000,0.07681674498599023,0.0003895265595553754,0.007504776813462538,0.004351232550106943,0.0009284681854802024,0.0015009553626925132,0.5435
21500,0.09185582067584619,0.00047636881391555086,0.010538264607854175,0.004406187776476167,0.0011349722641660343,0.0046599987010456645,0.545
22000,0.027710594760719687,0.0005403705116664437,0.007752749287519928,0.012183424539398358,0.0012868051395802382,0.001576383809775761,0.546
22500,0.06369974272092804,0.0006195484706360554,0.02354518680511769,0.11033648842712862,0.0014744992746562602,0.0058232434891572205,0.549
23000,0.02678590576397255,0.0007017459994679287,0.02578796561604585,0.035575161571614444,0.0016690229402938073,0.0013924080608112843,0.549
23500,0.025515927758533508,0.0006703238963033931,0.014785422233669243,0.02531499812612309,0.001593195680692272,0.003065631748615072,0.551
24000,0.06472324818605557,0.0006835830036892032,0.020516081259457197,0.006000815646257263,0.0016236098514545994,0.003145237424847208,0.549
24500,0.04303130193147808,0.0005324444257321925,0.002325010233319713,0.008147563692182336,0.0012638648803871,0.002059689614007182,0.549
25000,0.1476400017272681,0.004972950003522381,0.01722311396468701,0.034120385197456915,0.011830555582488245,0.0033241041820932793,0.562
25500,0.07108329492621124,0.00021675472936533158,0.012559731370269916,0.014546545059420213,0.0005168826771568824,0.0006784573329381427,0.5645
26000,0.06475383281940594,0.00036961998661821927,0.015840819086255176,0.006698964047245681,0.0008811533856851739,0.0004673779624209118,0.567
26500,0.03465460188454017,0.00045221737376810456,0.02318086325439267,0.0006852347869426012,0.0010776180379847844,0.008272010940349045,0.5675
27000,0.055367145978379995,0.0004993570582446649,0.03430438780872305,0.0017819340224378144,0.0011893842157917334,0.001876135425268377,0.569
27500,0.04969416404492222,0.000541639439877617,0.010074785278077147,0.04124876717687581,0.00128942239668417,0.0035834444232844542,0.576
28000,0.03009837496210821,0.0006559397168096615,0.03810274602548944,0.021012433199211977,0.001560589960131864,0.006549051055867422,0.5715
28500,0.007659705472178757,0.0006387898755237931,0.026122527861882378,0.006529725540895037,0.0015188040880591558,0.0018436183337600942,0.57
29000,0.003991846751887351,0.0005856026302096806,0.011080332409972304,0.012662276567425551,0.0013914925237283882,0.008695857466633095,0.567
29500,0.030617902404628694,0.0006891051413584481,0.0022501848075970055,0.007712427852675313,0.001636389001610894,0.0022850168664078907,0.5665
30000,0.12619383173296228,0.0050189499790724845,0.010615835777126104,0.027465171302901548,0.011944131885370357,0.0018531073446327873,0.575
30500,0.016305253142490983,6.2072858861284e-05,0.022857142857142854,0.018184445681981742,0.00014808783611952592,0.010338870431893687,0.573
31000,0.08028801891487092,0.0002680941361551392,0.009215524360033034,0.0005949008045718074,0.0006394892682890507,0.0032712599875105997,0.574
31500,0.01462420861935243,0.0003296446087482918,0.01885651821057685,0.003128310269676138,0.0007860716369525456,0.0027161101365992257,0.5805
32000,0.04101245914353058,0.0004674673809014207,0.04309199468553407,0.011197762039955705,0.0011142800941388309,0.005452251838988176,0.5775
32500,0.031856725458055735,0.0004341201695058361,0.047008747633131454,0.020412349398247875,0.0010343255347935454,0.001826330532212872,0.5815
33000,0.004800716822501272,0.0005743400789925968,0.0018336025217886576,0.018111442134249978,0.001367720713848275,0.006031038599283722,0.5885
33500,0.5288377671386115,0.0029966685072583266,0.009618492128226047,0.10371371507644656,0.007144850778874723,0.0022642353016318895,0.566
34000,0.4821860546944663,0.00040432974640203234,0.003393843725335438,0.010201345861423738,0.0009656694904025542,0.002185837085550535,0.601
34500,0.0025451808469370008,0.00019294128076841055,0.026939912455232806,0.001489817863330245,0.0004608545442970069,0.011820544342602823,0.603
35000,0.0009649996645748615,0.0003409740654476412,0.021507316881792166,0.008054162887856375,0.0008142244285838096,0.0018826685603818838,0.6105
35500,0.0745192983886227,0.00038039630678343705,0.01851698425849213,0.005889553425367899,0.0009080346663377092,0.0021874487956742295,0.6115
36000,0.04413598676910624,0.0005087310423063096,0.027124183006535935,0.10282990949926901,0.0012138396133321017,0.0013136893799877147,0.616
36500,0.06328770177788101,0.000464296254182317,0.008333333333333331,0.019050238915951923,0.0011072787279284846,0.0010317460317460225,0.615
37000,0.07886639286880381,0.0005683913222691572,0.006886087768440713,0.0027679241728037485,0.001354830523101036,0.0029790189056123906,0.614
