step,d_force,d_info,d_constraint,d_force_alt,d_info_alt,d_constraint_alt,acc_test
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0125
500,0.10457554482854903,0.07992770109335423,0.16301810865191146,0.052287772414274514,0.19208198870609428,0.08150905432595575,0.494
1000,0.8714144993573427,0.0031251393803941596,0.017142857142857126,0.2730422423143559,0.007225465456317526,0.032883970489604286,0.49
1500,1.0182409875560552,0.001070936150506796,0.009704573047349258,0.391081368046192,0.0024812528712225834,0.018868128506639464,0.4845
2000,0.5811335158068687,0.012029186441389728,0.009583848701272796,0.11842211766634136,0.028053752236080864,0.009404107363729097,0.5
2500,0.5727022574283183,0.0003682015514455683,0.015249571080876184,0.3553297367412598,0.0008637137824640817,0.039106252244344275,0.497
3000,0.3393448628485203,0.00048559920309432236,0.03066250321916042,0.4441138182766735,0.0011386147417695724,0.0003701298701298539,0.4965
3500,0.04492597980424762,0.0006972043090684998,0.015530303030303033,0.26084572244435544,0.001633811925094264,4.761904761904634e-05,0.4965
4000,0.12589671812020242,0.0007850595356926338,0.010037878787878762,0.08237686855718485,0.0018383268270243391,0.0001142801957249584,0.492
4500,0.19957236445043236,0.0008003010197534799,0.024419226894988655,0.23851804460864523,0.0018725319903261095,0.0028527954430182245,0.49
5000,0.1984069849131629,0.000852867201792118,0.022144880870642647,0.08429619614034889,0.0019938767518610234,0.0014737334850649375,0.4915
5500,0.34356761001981795,0.008915544809701581,0.0204529267029267,0.05228629843331867,0.02092748295199698,0.0005681818181818288,0.5085
6000,0.4012777016032487,0.0005959656873635311,0.005681818181818177,0.03695443784818053,0.0014047385712676608,0.0014015151515151536,0.5095
6500,0.10544358938932419,0.0006850670386290281,0.010373376623376618,0.00931362365372479,0.0016137236099642571,0.00548376623376623,0.51
7000,0.039767971029505134,0.0008272178276392816,0.00855537720706262,0.0412745023379103,0.0019470969730752685,0.002310996296181006,0.505
7500,0.1584950218675658,0.0008810761611260931,0.023002057287545508,0.03010589901823557,0.002072097550783969,0.002139561012800467,0.509
8000,0.04626588826067746,0.0009625966653091789,0.0024440762220380996,0.08956624337006358,0.002261729973696447,0.002439839572192515,0.505
8500,0.15947155898902565,0.0009470574218054528,0.011689291101055793,0.041205014847218946,0.002223095071978598,0.0010343822843822958,0.504
9000,0.01728564058430493,0.0009367534291985224,0.01936008276065912,0.05883660460822282,0.002196837589320655,0.004912309592424863,0.51
9500,0.2941530626267195,0.007634353467207422,0.020881160552923356,0.007947602123022035,0.017963887528841038,0.0024471529232527323,0.5265
10000,0.16836717445403337,0.0006655368996499877,0.019176755447941896,0.005973171605728522,0.0015714928719527954,0.001682092555331971,0.532
10500,0.04282281210180372,0.0007026243317725944,0.0022873422873422866,0.011844568466767624,0.0016579306865702748,0.0016507457683928584,0.5395
11000,0.07455090479925275,0.0008155486989928074,0.03599529638310803,0.0051395623711869565,0.001922929756293268,0.0032104552880176385,0.542
11500,0.05282174958847463,0.0008282840550213333,0.022611608580815568,0.008881915663369044,0.0019513531254369276,0.0025601501239863045,0.5445
12000,0.002990735520143062,0.000979039763836842,0.015682595000335114,0.06831067529274149,0.0023044349218355187,0.004752600986665356,0.5475
12500,0.02326997887575999,0.0009439778863202797,0.01811328741920254,0.03929123617708685,0.002219771945622284,0.0027054075867635197,0.544
13000,0.01573472749441862,0.0009586186775630834,0.0005557099194220538,0.027579728257842384,0.002252056495267496,0.0032740180281163878,0.548
13500,0.04547064780490473,0.0008718767388397053,0.0035288119931813355,0.021763676858972736,0.002046402208343956,0.004630803647141496,0.539
14000,0.0079617272131145,0.0008528207690479128,0.018017492711370264,0.01279167238390072,0.0019999500965885986,0.003495016611295698,0.5375
14500,0.5392912843381055,0.007160652827020164,0.03486696684404422,0.09566473158774896,0.016845528933834952,0.0003418577574461623,0.6045
15000,0.3825882775709033,0.00019693115793184557,0.03677172874880613,0.023801071848720323,0.0004648980174297712,0.003389830508474606,0.6065
15500,0.10728428955189884,0.00048003832403575863,0.03888888888888889,0.0008027315605431684,0.0011328493814111162,0.004499089253187621,0.616
