step,d_force,d_info,d_constraint,d_force_alt,d_info_alt,d_constraint_alt,acc_test
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0095
500,0.3059453838504851,0.08217701037513048,0.1911312964492155,0.15297269192524254,0.1973480356695272,0.09556564822460777,0.5
1000,1.719117690809071,0.003643411864548751,0.006468699839486364,0.5220483329612762,0.008410376363686467,0.029698982795040463,0.4895
1500,1.065170486457646,0.01356426874475547,0.0009200455951799413,0.0052684551337733865,0.03158226242784812,0.015079502796315203,0.4935
2000,1.0637646671384573,7.961733871530985e-05,0.0030227743271221408,0.2095918603474276,0.00018662908831679204,0.008443146812364716,0.5015
2500,0.5711585422977805,0.00046563453948034184,0.007114845938375358,0.3965850059874354,0.0010911852057842175,0.037934942763232476,0.497
3000,0.16714413254521787,0.0005302562524708287,0.005888069513519695,0.49120290926657617,0.0012420035180569222,0.0008862973760933035,0.4965
3500,0.01115468773059547,0.0006646088645778647,0.02494513054017755,0.1496103086508811,0.0015557639315906258,0.0028089887640449784,0.496
4000,0.21197768195997924,0.0006974383315988542,4.801690194949915e-05,0.405039942334406,0.0016315020276391756,0.003002601263470822,0.499
4500,0.13330252980813384,0.000647641944122257,0.018124685771744586,0.16562650294508785,0.0015139958726519964,0.0012268907563025289,0.5005
5000,0.3857886112527922,0.009219517859359705,0.005235466620665874,0.025762927765026644,0.021645161128637902,0.0008510148927606265,0.511
5500,0.4038921417668462,0.0006262294380549038,0.004148286880734708,0.02158667407929893,0.0014765582016238454,0.0005030583662035959,0.507
6000,0.0994767495431006,0.0007210934919500422,0.03513614748224872,0.03925108644180009,0.0016990888966126327,0.00153514502221061,0.5095
6500,0.045217213686555624,0.0007505835080893197,0.005854896822797245,0.012187892687506974,0.0017672743485857012,0.0026965210063801537,0.505
7000,0.07030795968603343,0.0008598261195748025,0.032748402986223335,0.028534205211326436,0.0020228603276271073,0.00022822243651557383,0.513
7500,0.12260109488852322,0.0008433517898538412,0.010514036983105518,0.13021214643958956,0.001982413257020088,0.0012839365090035748,0.5125
8000,0.05424711143132299,0.000886895995002579,0.0031726257215231868,0.0385842957999557,0.002082967044757744,0.0001802460114480875,0.513
8500,0.12000356271164492,0.0008412871105729636,0.01127487103905675,0.04268965843366457,0.0019741432745776777,0.009101957692813023,0.511
9000,0.4975061161094345,0.00694486810415651,0.016586181864091165,0.04776812205091119,0.016346495956503837,0.006955700684554256,0.5275
9500,0.39386047213338315,0.0005035805603358368,0.006906766699402711,0.01694238043855878,0.0011891248792448295,0.0017873734271901254,0.5275
10000,0.0010120071237906814,0.0006101978449515322,0.009266620292159411,0.007375437114387706,0.0014400823468720958,0.0021687580278628715,0.5255
10500,0.029413358424790204,0.0007208869713503097,0.007017969888295311,0.009356656856834844,0.0017001795768685213,0.00013063890589912197,0.5295
11000,0.015983689576387405,0.0007669232308172846,0.03433296407659442,0.01144731777021657,0.001807408993409254,0.009252205929029422,0.529
11500,0.08137910650111735,0.0008093199936789475,0.03679775280898878,0.10432972675189373,0.0019058228936317256,0.0014245810055866226,0.5285
12000,0.01950655214022845,0.0007597687123547248,0.02429971988795518,0.02945894275326283,0.0017877342087748715,0.004903171643297066,0.5345
12500,0.015191137790679932,0.0008547116463237803,0.01983796351401751,0.03229476888664068,0.002009511935196162,0.002788902998925452,0.532
13000,0.01459359802538529,0.00079234883101853,0.0011380569519723605,0.029330816806759696,0.0018613572418040292,0.001157697630871951,0.536
13500,0.3258007696713321,0.006707981667316787,0.01915464498070457,0.039026075042784214,0.015804856063146744,0.0041933614500499206,0.5455
14000,0.12399897840805352,0.00044887310050734097,0.006921863430024794,0.030502100661397025,0.001060915014793995,0.004550561797752817,0.548
14500,0.17206760274711996,0.0005776464824853722,0.021548842983098337,1.0109459981366697e-05,0.0013645713386218894,0.005100737178724168,0.551
15000,0.051626272150315344,0.0006489317303419728,0.04018021478529474,0.013353372528217777,0.001532028257130058,0.009169187432979647,0.5535
15500,0.07172243832610548,0.0006856915573278943,0.04110328191455595,0.0019276044680736626,0.0016177326801849468,0.0007209196596739409,0.558
16000,0.01943048753309995,0.0007250202014319473,0.02298999449535341,0.05934645195957272,0.001709313541161439,0.0014879895626037365,0.551
16500,0.06189379037823528,0.0007611210749882691,0.0017291066282420775,0.046925414353609085,0.001793092369712035,0.0004494382022472154,0.5505
17000,0.027582965907640755,0.0007878044761803205,0.01203438395415471,0.018028486985713243,0.0018545178375566351,0.002352330008035891,0.552
17500,0.01800976664526388,0.0007472576151883459,0.003081895115612715,0.024751788086723514,0.0017577195566662596,0.006300091972145566,0.555
18000,0.007305349688977003,0.0007585951199311491,0.033487072885539815,0.011868370359297886,0.001783044935905309,0.0047768501663423835,0.556
18500,0.4238125432166271,0.0055446205403767435,0.037064890416845714,0.06900804077740763,0.013063630600249176,0.0019618709820438673,0.588
19000,0.2777571495389566,7.726828879339731e-05,0.029720279720279713,0.025835368945263282,0.00018254923632499143,0.0036363636363636598,0.5935
