seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
141,grokked,embed.weight,structured_rank1,0.02,2,0.0,0.0,0.931,0.0,0.925
141,grokked,embed.weight,structured_rank1,0.05,0,0.0,0.0,0.917,0.0,0.925
141,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.93,0.0,0.925
141,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.931,0.0,0.925
141,pregrok,embed.weight,gaussian_random,0.005,0,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.005,1,0.0,2000.0,0.494,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.005,2,0.0,2000.0,0.501,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.01,0,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.01,1,0.0,2000.0,0.507,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.01,2,0.0,2000.0,0.494,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.02,0,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.02,1,0.0,2000.0,0.504,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.02,2,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.05,0,0.0,2000.0,0.5,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.05,1,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,gaussian_random,0.05,2,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.005,0,0.0,2000.0,0.503,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.005,1,0.0,2000.0,0.499,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.005,2,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.01,0,0.0,2000.0,0.496,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.01,1,0.0,2000.0,0.502,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.01,2,0.0,2000.0,0.5,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.02,0,0.0,2000.0,0.503,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.02,1,0.0,2000.0,0.496,1.0,0.5025
