scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,212,106,0.013926663038042042,0.011347935377533981,,2,0.01384562716250883,0.011245518435924324,,0,True,True
average,C_activity,2,4,212,106,0.029408079003741792,0.024536336703526108,,2,0.04290149660841557,0.03412528078048557,,34,True,True
average,C_activity,4,8,212,106,0.03650238052223873,0.026119566312871368,,2,0.03681322969623861,0.026596746276783687,,0,True,False
average,C_frozen,1,2,212,106,0.013926663038042032,0.011347935377533973,,2,0.013845627162516961,0.011245518435934715,,0,True,True
average,C_frozen,2,4,212,106,0.029408079003741833,0.024536336703526142,,2,0.04290149659988353,0.03412528077328586,,34,True,True
average,C_frozen,4,8,212,106,0.036502380522238746,0.026119566312871375,,2,0.03681322969623545,0.02659674627678002,,0,True,False
average,H_2x2,1,2,212,106,0.08511846738847832,0.07234315333920194,0.7209231829517693,2,0.08543384069410433,0.07455751343859221,0.911731365090561,0,False,False
average,H_2x2,2,4,212,106,0.13753236263241786,0.12814556945593714,0.8551679323344835,3,0.14076115511727794,0.13136401059874814,0.8551830113106784,0,False,False
average,H_2x2,4,8,212,106,0.07168583599426803,0.05843681561153875,0.7260170569618684,2,0.07082764115207363,0.05877381431067796,0.7287553215608231,0,False,False
majority,C_activity,1,2,212,106,0.013926663038042042,0.011347935377533981,,2,0.01384562716250883,0.011245518435924324,,0,True,True
majority,C_activity,2,4,212,106,0.029408079003741792,0.024536336703526108,,2,0.04290149660841557,0.03412528078048557,,34,True,True
majority,C_activity,4,8,212,106,0.03650238052223873,0.026119566312871368,,2,0.03681322969623861,0.026596746276783687,,0,True,False
majority,C_frozen,1,2,212,106,0.013926663038042032,0.011347935377533973,,2,0.013845627162516961,0.011245518435934715,,0,True,True
majority,C_frozen,2,4,212,106,0.029408079003741833,0.024536336703526142,,2,0.04290149659988353,0.03412528077328586,,34,True,True
majority,C_frozen,4,8,212,106,0.036502380522238746,0.026119566312871375,,2,0.03681322969623545,0.02659674627678002,,0,True,False
majority,H_2x2,1,2,212,106,0.08511846738847832,0.07234315333920194,0.7209231829517693,2,0.08543384069410433,0.07455751343859221,0.911731365090561,0,False,False
majority,H_2x2,2,4,212,106,0.13753236263241786,0.12814556945593714,0.8551679323344835,3,0.14076115511727794,0.13136401059874814,0.8551830113106784,0,False,False
majority,H_2x2,4,8,212,106,0.07168583599426803,0.05843681561153875,0.7260170569618684,2,0.07082764115207363,0.05877381431067796,0.7287553215608231,0,False,False
threshold_high,C_activity,1,2,212,106,0.01695107882470064,0.013996493741401326,,2,0.014767792635830312,0.011875319178738476,,0,True,True
threshold_high,C_activity,2,4,212,106,0.004576164319840168,0.003202160805440686,,2,0.0048134936866660455,0.00341229947791276,,0,True,False
threshold_high,C_activity,4,8,212,106,0.017167622525092803,0.01218758784348947,0.9260293183609913,3,0.00871979398097552,0.00611808473972636,0.9260293183609913,0,False,False
threshold_high,C_frozen,1,2,212,106,0.016951078824700653,0.013996493741401338,,2,0.014767792635642416,0.011875319178482323,,0,True,True
threshold_high,C_frozen,2,4,212,106,0.0045761643198401645,0.0032021608054406824,,2,0.004813493686665651,0.0034122994779122746,,0,True,False
threshold_high,C_frozen,4,8,212,106,0.017167622525092793,0.012187587843489467,0.9260293183609913,3,0.008719793980956228,0.006118084739693405,0.9260293183609913,0,False,False
threshold_high,H_2x2,1,2,212,106,0.08891692456002616,0.08151760333792933,0.5955413406921131,2,0.08625194234299216,0.07806377905179966,0.6151951029045016,0,False,False
threshold_high,H_2x2,2,4,212,106,0.04845981512743931,0.039587891502765114,0.5098437749430137,3,0.030498223436165248,0.024439976553666077,0.7867244376149332,0,False,False
threshold_high,H_2x2,4,8,212,106,0.08044754802465365,0.0677987002071817,0.5175218227870518,2,0.05463598633696992,0.04377469027773177,0.634521500365267,0,False,False
threshold_low,C_activity,1,2,212,106,0.013926663038042042,0.011347935377533981,,2,0.01384562716250883,0.011245518435924324,,0,True,True
threshold_low,C_activity,2,4,212,106,0.009769111035661256,0.007208227410686665,,2,0.08029356143984645,0.06311093158633495,,0,True,True
threshold_low,C_activity,4,8,212,106,0.018761354166536622,0.012909971992924534,,2,0.018267951162466732,0.013233039333166066,,0,True,False
threshold_low,C_frozen,1,2,212,106,0.013926663038042032,0.011347935377533973,,2,0.013845627162516961,0.011245518435934715,,0,True,True
threshold_low,C_frozen,2,4,212,106,0.009769111035661266,0.007208227410686668,,2,0.08029356142567215,0.0631109315759033,,0,True,True
threshold_low,C_frozen,4,8,212,106,0.01876135416653662,0.012909971992924528,,2,0.018267951162460883,0.013233039333172837,,0,True,False
threshold_low,H_2x2,1,2,212,106,0.08511846738847832,0.07234315333920194,0.7209231829517693,2,0.08543384069410433,0.07455751343859221,0.911731365090561,0,False,False
threshold_low,H_2x2,2,4,212,106,0.07204545941220068,0.0636258292460311,0.9167459152614597,3,0.07354002153979038,0.06537900869717654,0.9162858654306371,0,False,False
threshold_low,H_2x2,4,8,212,106,0.06038711133126834,0.04733416130116777,0.8033576653779609,2,0.05889637673450846,0.04815073724287631,0.7955079615813879,0,False,False
