temperature,tag,pass_cells,scope_limited_cells,unstable_cells,groups_saturated,groups_non_saturated,req124_pass,req124_scope_limited,req124_unstable,req124_testable,req124_pass_rate_testable,req124_rmse_median_testable
2.1,T2p10,10,0,2,8,40,4,8,0,4,1.0,0.019823123816552875
2.269,T2p269,2,8,2,24,24,2,8,2,4,0.5,0.06844619932707158
