seed,t,scheme,b,estimator,value
14200,440,threshold_high,1,H_2x2,0.7414358891639231
14200,440,threshold_high,2,C_frozen,0.0
14200,440,threshold_high,2,C_activity,1.0
14200,440,threshold_high,2,H_2x2,0.7795604033231053
14200,440,threshold_high,4,C_frozen,0.0
14200,440,threshold_high,4,C_activity,1.0
14200,440,threshold_high,4,H_2x2,0.8299359240977917
14200,440,threshold_high,8,C_frozen,0.0
14200,440,threshold_high,8,C_activity,1.0
14200,440,threshold_high,8,H_2x2,0.7929634820328015
14200,440,average,1,C_frozen,0.0
14200,440,average,1,C_activity,1.0
14200,440,average,1,H_2x2,0.7414358891639231
14200,440,average,2,C_frozen,0.0
14200,440,average,2,C_activity,1.0
14200,440,average,2,H_2x2,0.8172271842111066
14200,440,average,4,C_frozen,0.0
14200,440,average,4,C_activity,1.0
14200,440,average,4,H_2x2,0.8542574732689561
14200,440,average,8,C_frozen,0.0
14200,440,average,8,C_activity,1.0
14200,440,average,8,H_2x2,0.9282790635766925
14200,460,majority,1,C_frozen,0.0
14200,460,majority,1,C_activity,1.0
14200,460,majority,1,H_2x2,0.7600028294399945
14200,460,majority,2,C_frozen,0.0
14200,460,majority,2,C_activity,1.0
14200,460,majority,2,H_2x2,0.8193804758304044
14200,460,majority,4,C_frozen,0.0
14200,460,majority,4,C_activity,1.0
14200,460,majority,4,H_2x2,0.8456466874365958
14200,460,majority,8,C_frozen,0.0
14200,460,majority,8,C_activity,1.0
14200,460,majority,8,H_2x2,0.8582704701383603
14200,460,threshold_low,1,C_frozen,0.0
14200,460,threshold_low,1,C_activity,1.0
14200,460,threshold_low,1,H_2x2,0.7600028294399945
14200,460,threshold_low,2,C_frozen,0.0
14200,460,threshold_low,2,C_activity,1.0
14200,460,threshold_low,2,H_2x2,0.8193804758304044
14200,460,threshold_low,4,C_frozen,0.0
14200,460,threshold_low,4,C_activity,1.0
14200,460,threshold_low,4,H_2x2,0.8625895466262543
14200,460,threshold_low,8,C_frozen,0.0
14200,460,threshold_low,8,C_activity,1.0
14200,460,threshold_low,8,H_2x2,0.8620836588345048
14200,460,threshold_high,1,C_frozen,0.0
14200,460,threshold_high,1,C_activity,1.0
14200,460,threshold_high,1,H_2x2,0.7600028294399945
14200,460,threshold_high,2,C_frozen,0.0
14200,460,threshold_high,2,C_activity,1.0
14200,460,threshold_high,2,H_2x2,0.7755446365567119
14200,460,threshold_high,4,C_frozen,0.0
14200,460,threshold_high,4,C_activity,1.0
14200,460,threshold_high,4,H_2x2,0.818785141996272
14200,460,threshold_high,8,C_frozen,0.0
14200,460,threshold_high,8,C_activity,1.0
14200,460,threshold_high,8,H_2x2,0.8002004047729943
14200,460,average,1,C_frozen,0.0
14200,460,average,1,C_activity,1.0
14200,460,average,1,H_2x2,0.7600028294399945
14200,460,average,2,C_frozen,0.0
14200,460,average,2,C_activity,1.0
14200,460,average,2,H_2x2,0.8193804758304044
14200,460,average,4,C_frozen,0.0
14200,460,average,4,C_activity,1.0
14200,460,average,4,H_2x2,0.8456466874365958
14200,460,average,8,C_frozen,0.0
14200,460,average,8,C_activity,1.0
14200,460,average,8,H_2x2,0.8582704701383603
14200,480,majority,1,C_frozen,0.0
14200,480,majority,1,C_activity,1.0
14200,480,majority,1,H_2x2,0.7567793304932643
14200,480,majority,2,C_frozen,0.0
14200,480,majority,2,C_activity,1.0
14200,480,majority,2,H_2x2,0.8066318772100578
14200,480,majority,4,C_frozen,0.0
14200,480,majority,4,C_activity,1.0
14200,480,majority,4,H_2x2,0.8692194856626183
14200,480,majority,8,C_frozen,0.0
14200,480,majority,8,C_activity,1.0
14200,480,majority,8,H_2x2,0.8627919283418377
14200,480,threshold_low,1,C_frozen,0.0
14200,480,threshold_low,1,C_activity,1.0
14200,480,threshold_low,1,H_2x2,0.7567793304932643
14200,480,threshold_low,2,C_frozen,0.0
14200,480,threshold_low,2,C_activity,1.0
14200,480,threshold_low,2,H_2x2,0.8066318772100578
14200,480,threshold_low,4,C_frozen,0.0
14200,480,threshold_low,4,C_activity,1.0
14200,480,threshold_low,4,H_2x2,0.8881585246347442
14200,480,threshold_low,8,C_frozen,0.0
14200,480,threshold_low,8,C_activity,1.0
14200,480,threshold_low,8,H_2x2,0.8308005718082627
14200,480,threshold_high,1,C_frozen,0.0
14200,480,threshold_high,1,C_activity,1.0
14200,480,threshold_high,1,H_2x2,0.7567793304932643
14200,480,threshold_high,2,C_frozen,0.0
14200,480,threshold_high,2,C_activity,1.0
14200,480,threshold_high,2,H_2x2,0.8125276510505302
14200,480,threshold_high,4,C_frozen,0.0
14200,480,threshold_high,4,C_activity,1.0
14200,480,threshold_high,4,H_2x2,0.8035047576022143
14200,480,threshold_high,8,C_frozen,0.0
14200,480,threshold_high,8,C_activity,1.0
14200,480,threshold_high,8,H_2x2,0.8123862663274372
14200,480,average,1,C_frozen,0.0
14200,480,average,1,C_activity,1.0
14200,480,average,1,H_2x2,0.7567793304932643
14200,480,average,2,C_frozen,0.0
14200,480,average,2,C_activity,1.0
14200,480,average,2,H_2x2,0.8066318772100578
14200,480,average,4,C_frozen,0.0
14200,480,average,4,C_activity,1.0
14200,480,average,4,H_2x2,0.8692194856626183
14200,480,average,8,C_frozen,0.0
14200,480,average,8,C_activity,1.0
14200,480,average,8,H_2x2,0.8627919283418377
14200,500,majority,1,C_frozen,0.0
14200,500,majority,1,C_activity,1.0
14200,500,majority,1,H_2x2,0.7549502252468784
14200,500,majority,2,C_frozen,0.0
14200,500,majority,2,C_activity,1.0
14200,500,majority,2,H_2x2,0.8023317375000139
14200,500,majority,4,C_frozen,0.0
14200,500,majority,4,C_activity,1.0
14200,500,majority,4,H_2x2,0.8698444133675127
14200,500,majority,8,C_frozen,0.0
14200,500,majority,8,C_activity,1.0
14200,500,majority,8,H_2x2,0.8903632176822012
14200,500,threshold_low,1,C_frozen,0.0
14200,500,threshold_low,1,C_activity,1.0
14200,500,threshold_low,1,H_2x2,0.7549502252468784
14200,500,threshold_low,2,C_frozen,0.0
14200,500,threshold_low,2,C_activity,1.0
14200,500,threshold_low,2,H_2x2,0.8023317375000139
14200,500,threshold_low,4,C_frozen,0.0
14200,500,threshold_low,4,C_activity,1.0
14200,500,threshold_low,4,H_2x2,0.8744898369887935
14200,500,threshold_low,8,C_frozen,0.0
14200,500,threshold_low,8,C_activity,1.0
14200,500,threshold_low,8,H_2x2,0.8703218144008569
14200,500,threshold_high,1,C_frozen,0.0
14200,500,threshold_high,1,C_activity,1.0
14200,500,threshold_high,1,H_2x2,0.7549502252468784
14200,500,threshold_high,2,C_frozen,0.0
14200,500,threshold_high,2,C_activity,1.0
14200,500,threshold_high,2,H_2x2,0.7581032730573463
14200,500,threshold_high,4,C_frozen,0.0
14200,500,threshold_high,4,C_activity,1.0
14200,500,threshold_high,4,H_2x2,0.8264731331270381
14200,500,threshold_high,8,C_frozen,0.0
14200,500,threshold_high,8,C_activity,1.0
14200,500,threshold_high,8,H_2x2,0.8383818012996245
14200,500,average,1,C_frozen,0.0
14200,500,average,1,C_activity,1.0
14200,500,average,1,H_2x2,0.7549502252468784
14200,500,average,2,C_frozen,0.0
14200,500,average,2,C_activity,1.0
14200,500,average,2,H_2x2,0.8023317375000139
14200,500,average,4,C_frozen,0.0
14200,500,average,4,C_activity,1.0
14200,500,average,4,H_2x2,0.8698444133675127
14200,500,average,8,C_frozen,0.0
14200,500,average,8,C_activity,1.0
14200,500,average,8,H_2x2,0.8903632176822012
14200,520,majority,1,C_frozen,0.0
14200,520,majority,1,C_activity,1.0
14200,520,majority,1,H_2x2,0.7516312111213396
14200,520,majority,2,C_frozen,0.0
14200,520,majority,2,C_activity,1.0
14200,520,majority,2,H_2x2,0.8133241600480177
14200,520,majority,4,C_frozen,0.0
14200,520,majority,4,C_activity,1.0
14200,520,majority,4,H_2x2,0.8815566516629298
14200,520,majority,8,C_frozen,0.0
14200,520,majority,8,C_activity,1.0
14200,520,majority,8,H_2x2,0.8880421275582067
14200,520,threshold_low,1,C_frozen,0.0
14200,520,threshold_low,1,C_activity,1.0
14200,520,threshold_low,1,H_2x2,0.7516312111213396
14200,520,threshold_low,2,C_frozen,0.0
14200,520,threshold_low,2,C_activity,1.0
14200,520,threshold_low,2,H_2x2,0.8133241600480177
14200,520,threshold_low,4,C_frozen,0.0
14200,520,threshold_low,4,C_activity,1.0
14200,520,threshold_low,4,H_2x2,0.8825507341689108
14200,520,threshold_low,8,C_frozen,0.0
14200,520,threshold_low,8,C_activity,1.0
14200,520,threshold_low,8,H_2x2,0.8983002665426794
14200,520,threshold_high,1,C_frozen,0.0
14200,520,threshold_high,1,C_activity,1.0
14200,520,threshold_high,1,H_2x2,0.7516312111213396
14200,520,threshold_high,2,C_frozen,0.0
14200,520,threshold_high,2,C_activity,1.0
14200,520,threshold_high,2,H_2x2,0.7819415934611709
14200,520,threshold_high,4,C_frozen,0.0
14200,520,threshold_high,4,C_activity,1.0
14200,520,threshold_high,4,H_2x2,0.828359176813413
14200,520,threshold_high,8,C_frozen,0.0
14200,520,threshold_high,8,C_activity,1.0
14200,520,threshold_high,8,H_2x2,0.7803305850320816
14200,520,average,1,C_frozen,0.0
14200,520,average,1,C_activity,1.0
14200,520,average,1,H_2x2,0.7516312111213396
14200,520,average,2,C_frozen,0.0
14200,520,average,2,C_activity,1.0
14200,520,average,2,H_2x2,0.8133241600480177
14200,520,average,4,C_frozen,0.0
14200,520,average,4,C_activity,1.0
14200,520,average,4,H_2x2,0.8815566516629298
14200,520,average,8,C_frozen,0.0
14200,520,average,8,C_activity,1.0
14200,520,average,8,H_2x2,0.8880421275582067
14200,540,majority,1,C_frozen,0.0
14200,540,majority,1,C_activity,1.0
14200,540,majority,1,H_2x2,0.7701298636029711
14200,540,majority,2,C_frozen,0.0
14200,540,majority,2,C_activity,1.0
14200,540,majority,2,H_2x2,0.8293810007864184
14200,540,majority,4,C_frozen,0.0
14200,540,majority,4,C_activity,1.0
14200,540,majority,4,H_2x2,0.8457887007129119
14200,540,majority,8,C_frozen,0.0
14200,540,majority,8,C_activity,1.0
14200,540,majority,8,H_2x2,0.8935603052803776
14200,540,threshold_low,1,C_frozen,0.0
14200,540,threshold_low,1,C_activity,1.0
14200,540,threshold_low,1,H_2x2,0.7701298636029711
14200,540,threshold_low,2,C_frozen,0.0
14200,540,threshold_low,2,C_activity,1.0
14200,540,threshold_low,2,H_2x2,0.8293810007864184
14200,540,threshold_low,4,C_frozen,0.0
14200,540,threshold_low,4,C_activity,1.0
14200,540,threshold_low,4,H_2x2,0.852162538691117
14200,540,threshold_low,8,C_frozen,0.0
14200,540,threshold_low,8,C_activity,1.0
14200,540,threshold_low,8,H_2x2,0.9401077543463678
14200,540,threshold_high,1,C_frozen,0.0
14200,540,threshold_high,1,C_activity,1.0
14200,540,threshold_high,1,H_2x2,0.7701298636029711
14200,540,threshold_high,2,C_frozen,0.0
14200,540,threshold_high,2,C_activity,1.0
14200,540,threshold_high,2,H_2x2,0.7802203280662767
14200,540,threshold_high,4,C_frozen,0.0
14200,540,threshold_high,4,C_activity,1.0
14200,540,threshold_high,4,H_2x2,0.7855629264870572
14200,540,threshold_high,8,C_frozen,0.0
14200,540,threshold_high,8,C_activity,1.0
14200,540,threshold_high,8,H_2x2,0.8333159551859239
14200,540,average,1,C_frozen,0.0
14200,540,average,1,C_activity,1.0
14200,540,average,1,H_2x2,0.7701298636029711
14200,540,average,2,C_frozen,0.0
14200,540,average,2,C_activity,1.0
14200,540,average,2,H_2x2,0.8293810007864184
14200,540,average,4,C_frozen,0.0
14200,540,average,4,C_activity,1.0
14200,540,average,4,H_2x2,0.8457887007129119
14200,540,average,8,C_frozen,0.0
14200,540,average,8,C_activity,1.0
14200,540,average,8,H_2x2,0.8935603052803776
14200,560,majority,1,C_frozen,0.0
14200,560,majority,1,C_activity,1.0
14200,560,majority,1,H_2x2,0.7355361789179119
14200,560,majority,2,C_frozen,0.0
14200,560,majority,2,C_activity,1.0
14200,560,majority,2,H_2x2,0.7799567111879442
14200,560,majority,4,C_frozen,0.0
14200,560,majority,4,C_activity,1.0
14200,560,majority,4,H_2x2,0.79226445938068
14200,560,majority,8,C_frozen,0.0
14200,560,majority,8,C_activity,1.0
14200,560,majority,8,H_2x2,0.8202880827322099
14200,560,threshold_low,1,C_frozen,0.0
14200,560,threshold_low,1,C_activity,1.0
14200,560,threshold_low,1,H_2x2,0.7355361789179119
14200,560,threshold_low,2,C_frozen,0.0
14200,560,threshold_low,2,C_activity,1.0
14200,560,threshold_low,2,H_2x2,0.7799567111879442
14200,560,threshold_low,4,C_frozen,0.0
14200,560,threshold_low,4,C_activity,1.0
14200,560,threshold_low,4,H_2x2,0.7951129076418719
14200,560,threshold_low,8,C_frozen,0.0
14200,560,threshold_low,8,C_activity,1.0
14200,560,threshold_low,8,H_2x2,0.8831507695381393
14200,560,threshold_high,1,C_frozen,0.0
14200,560,threshold_high,1,C_activity,1.0
14200,560,threshold_high,1,H_2x2,0.7355361789179119
14200,560,threshold_high,2,C_frozen,0.0
14200,560,threshold_high,2,C_activity,1.0
14200,560,threshold_high,2,H_2x2,0.7451012428650385
14200,560,threshold_high,4,C_frozen,0.0
14200,560,threshold_high,4,C_activity,1.0
14200,560,threshold_high,4,H_2x2,0.7912615757991779
14200,560,threshold_high,8,C_frozen,0.0
14200,560,threshold_high,8,C_activity,1.0
14200,560,threshold_high,8,H_2x2,0.7404286576984492
14200,560,average,1,C_frozen,0.0
14200,560,average,1,C_activity,1.0
14200,560,average,1,H_2x2,0.7355361789179119
14200,560,average,2,C_frozen,0.0
14200,560,average,2,C_activity,1.0
14200,560,average,2,H_2x2,0.7799567111879442
14200,560,average,4,C_frozen,0.0
14200,560,average,4,C_activity,1.0
14200,560,average,4,H_2x2,0.79226445938068
