seed,t,scheme,b,estimator,value
13000,540,threshold_high,1,H_2x2,0.5931702358109616
13000,540,threshold_high,2,C_frozen,0.0
13000,540,threshold_high,2,C_activity,1.0
13000,540,threshold_high,2,H_2x2,0.6487480041172136
13000,540,threshold_high,4,C_frozen,0.0
13000,540,threshold_high,4,C_activity,1.0
13000,540,threshold_high,4,H_2x2,0.6342772457085166
13000,540,threshold_high,8,C_frozen,0.0
13000,540,threshold_high,8,C_activity,1.0
13000,540,threshold_high,8,H_2x2,0.5946510760276325
13000,540,average,1,C_frozen,0.0
13000,540,average,1,C_activity,1.0
13000,540,average,1,H_2x2,0.5931702358109616
13000,540,average,2,C_frozen,0.0
13000,540,average,2,C_activity,1.0
13000,540,average,2,H_2x2,0.5299941624416691
13000,540,average,4,C_frozen,0.0
13000,540,average,4,C_activity,1.0
13000,540,average,4,H_2x2,0.5321492605940183
13000,540,average,8,C_frozen,0.0
13000,540,average,8,C_activity,1.0
13000,540,average,8,H_2x2,0.5580398972578668
13000,560,majority,1,C_frozen,0.0
13000,560,majority,1,C_activity,1.0
13000,560,majority,1,H_2x2,0.5854794497370359
13000,560,majority,2,C_frozen,0.0
13000,560,majority,2,C_activity,1.0
13000,560,majority,2,H_2x2,0.46931510199739956
13000,560,majority,4,C_frozen,0.0
13000,560,majority,4,C_activity,1.0
13000,560,majority,4,H_2x2,0.4882912959630132
13000,560,majority,8,C_frozen,0.0
13000,560,majority,8,C_activity,1.0
13000,560,majority,8,H_2x2,0.4835351905467103
13000,560,threshold_low,1,C_frozen,0.0
13000,560,threshold_low,1,C_activity,1.0
13000,560,threshold_low,1,H_2x2,0.5854794497370359
13000,560,threshold_low,2,C_frozen,0.0
13000,560,threshold_low,2,C_activity,1.0
13000,560,threshold_low,2,H_2x2,0.46931510199739956
13000,560,threshold_low,4,C_frozen,0.0
13000,560,threshold_low,4,C_activity,1.0
13000,560,threshold_low,4,H_2x2,0.4587275828678409
13000,560,threshold_low,8,C_frozen,0.0
13000,560,threshold_low,8,C_activity,1.0
13000,560,threshold_low,8,H_2x2,0.39111066459449306
13000,560,threshold_high,1,C_frozen,0.0
13000,560,threshold_high,1,C_activity,1.0
13000,560,threshold_high,1,H_2x2,0.5854794497370359
13000,560,threshold_high,2,C_frozen,0.0
13000,560,threshold_high,2,C_activity,1.0
13000,560,threshold_high,2,H_2x2,0.6383099987855902
13000,560,threshold_high,4,C_frozen,0.0
13000,560,threshold_high,4,C_activity,1.0
13000,560,threshold_high,4,H_2x2,0.5808067511691393
13000,560,threshold_high,8,C_frozen,0.0
13000,560,threshold_high,8,C_activity,1.0
13000,560,threshold_high,8,H_2x2,0.5507615061080813
13000,560,average,1,C_frozen,0.0
13000,560,average,1,C_activity,1.0
13000,560,average,1,H_2x2,0.5854794497370359
13000,560,average,2,C_frozen,0.0
13000,560,average,2,C_activity,1.0
13000,560,average,2,H_2x2,0.46931510199739956
13000,560,average,4,C_frozen,0.0
13000,560,average,4,C_activity,1.0
13000,560,average,4,H_2x2,0.4882912959630132
13000,560,average,8,C_frozen,0.0
13000,560,average,8,C_activity,1.0
13000,560,average,8,H_2x2,0.4835351905467103
13000,580,majority,1,C_frozen,0.0
13000,580,majority,1,C_activity,1.0
13000,580,majority,1,H_2x2,0.5982103163350324
13000,580,majority,2,C_frozen,0.0
13000,580,majority,2,C_activity,1.0
13000,580,majority,2,H_2x2,0.48627953006923885
13000,580,majority,4,C_frozen,0.0
13000,580,majority,4,C_activity,1.0
13000,580,majority,4,H_2x2,0.5195683406543252
13000,580,majority,8,C_frozen,0.0
13000,580,majority,8,C_activity,1.0
13000,580,majority,8,H_2x2,0.4967220333729756
13000,580,threshold_low,1,C_frozen,0.0
13000,580,threshold_low,1,C_activity,1.0
13000,580,threshold_low,1,H_2x2,0.5982103163350324
13000,580,threshold_low,2,C_frozen,0.0
13000,580,threshold_low,2,C_activity,1.0
13000,580,threshold_low,2,H_2x2,0.48627953006923885
13000,580,threshold_low,4,C_frozen,0.0
13000,580,threshold_low,4,C_activity,1.0
13000,580,threshold_low,4,H_2x2,0.4885896006313474
13000,580,threshold_low,8,C_frozen,0.0
13000,580,threshold_low,8,C_activity,1.0
13000,580,threshold_low,8,H_2x2,0.4390874024103494
13000,580,threshold_high,1,C_frozen,0.0
13000,580,threshold_high,1,C_activity,1.0
13000,580,threshold_high,1,H_2x2,0.5982103163350324
13000,580,threshold_high,2,C_frozen,0.0
13000,580,threshold_high,2,C_activity,1.0
13000,580,threshold_high,2,H_2x2,0.650510508275413
13000,580,threshold_high,4,C_frozen,0.0
13000,580,threshold_high,4,C_activity,1.0
13000,580,threshold_high,4,H_2x2,0.5946424259271129
13000,580,threshold_high,8,C_frozen,0.0
13000,580,threshold_high,8,C_activity,1.0
13000,580,threshold_high,8,H_2x2,0.6106019218072343
13000,580,average,1,C_frozen,0.0
13000,580,average,1,C_activity,1.0
13000,580,average,1,H_2x2,0.5982103163350324
13000,580,average,2,C_frozen,0.0
13000,580,average,2,C_activity,1.0
